year,country,firstname,lastname,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,award
1984,BGR,Diko B.,Mihov,7,7,7,7,7,7,42,1,Gold medal
1984,GDR,Karin,Gröger,7,7,7,7,7,7,42,1,Gold medal
1984,ROU,Daniel,Tătaru,7,7,7,7,7,7,42,1,Gold medal
1984,USS,Andrey,Astrelin,7,7,7,7,7,7,42,1,Gold medal
1984,USS,Konstantin,Ignatiev,7,7,7,7,7,7,42,1,Gold medal
1984,USS,Leonid,Oridoroga,7,7,7,7,7,7,42,1,Gold medal
1984,USA,David,Moews,7,7,7,7,7,7,42,1,Gold medal
1984,VNM,Đàm,Thanh Sơn,7,7,7,7,7,7,42,1,Gold medal
1984,BGR,Vasil Borisov,Daskalov,7,7,7,6,7,7,41,9,Gold medal
1984,USS,Fedor,Nazarov,7,7,6,7,7,7,41,9,Gold medal
1984,HUN,Miklós,Mócsy,7,5,7,7,7,7,40,12,Gold medal
1984,ROU,Louis,Funar,7,7,7,7,5,7,40,12,Gold medal
1984,USS,Evgeniy,Abakumov,7,7,7,7,5,7,40,12,Gold medal
1984,UNK,Paul Nevile,Balister,7,7,7,6,7,6,40,9,Gold medal
1984,GER,Bernhard,Leeb,7,7,7,7,7,3,38,15,Silver medal
1984,ROU,Petru,Mironescu,7,7,7,7,7,3,38,15,Silver medal
1984,BGR,Pavel,Tadeev Glasnov,7,7,2,7,7,7,37,17,Silver medal
1984,HUN,Gábor,Megyesi,7,7,2,7,7,7,37,17,Silver medal
1984,ROU,Martin,Weiss,7,7,6,7,6,4,37,17,Silver medal
1984,MNG,D.,Tubshinjargal,2,7,7,7,6,7,36,20,Silver medal
1984,BGR,Nikolai Ivanov,Chavdarov,7,6,2,7,6,7,35,21,Silver medal
1984,GDR,Arnd,Rösch,7,7,7,7,7,0,35,21,Silver medal
1984,HUN,Zoltán,Szabó,7,7,7,7,7,0,35,21,Silver medal
1984,USA,David,Grabiner,7,7,7,7,0,7,35,21,Silver medal
1984,CZS,Jiří,Witzany,7,1,7,6,7,6,34,25,Silver medal
1984,HUN,Géza,Kós,7,7,6,7,7,0,34,25,Silver medal
1984,MNG,R.,Batdelger,7,7,7,7,6,0,34,25,Silver medal
1984,USA,Michael,Reid,7,7,7,7,6,0,34,25,Silver medal
1984,AUS,Michael,Peake,7,7,1,6,7,5,33,29,Silver medal
1984,FRA,Alexis,Bonnet,7,7,7,6,1,4,32,30,Silver medal
1984,HEL,A.,Melas,6,7,1,7,7,3,31,31,Silver medal
1984,MNG,B.,Munhtur,5,6,6,7,7,0,31,31,Silver medal
1984,UNK,Richard Swarup,Biswas,7,7,2,7,7,1,31,31,Silver medal
1984,UNK,Marcus George,Moore,7,7,0,6,4,7,31,31,Silver medal
1984,GER,Arnfried,Gebhardt,7,7,5,7,3,1,30,35,Silver medal
1984,USA,Jeremy,Kahn,7,7,0,2,7,7,30,35,Silver medal
1984,USA,Steven,Newman,7,7,7,5,4,0,30,35,Silver medal
1984,UNK,Matthew John,Richards,7,1,1,6,7,7,29,38,Silver medal
1984,AUT,Michael,Ulm,7,7,0,7,7,0,28,39,Silver medal
1984,BGR,Ivan Kolev,Dimitrov,7,7,2,7,5,0,28,39,Silver medal
1984,HUN,Ákos,Magyar,7,7,0,7,7,0,28,39,Silver medal
1984,POL,Jarosław,Włodarczyk,7,1,7,7,0,6,28,39,Silver medal
1984,USS,Sergei,Strukov,7,0,0,7,7,7,28,39,Silver medal
1984,FRA,Laurent,Lafforgue,7,7,6,7,0,0,27,44,Silver medal
1984,GDR,Ingo,Witt,7,7,1,7,0,5,27,44,Silver medal
1984,VNM,Đỗ,Quang Đại,7,7,0,6,7,0,27,44,Silver medal
1984,CZS,Juraj,Balász,7,7,0,7,4,1,26,47,Silver medal
1984,NLD,Jan,de Boer,7,7,0,7,1,4,26,47,Silver medal
1984,VNM,Nguyễn,Văn Hưng,7,7,0,7,0,5,26,47,Silver medal
1984,AUS,Alan,Blair,6,1,0,7,4,7,25,50,Bronze medal
1984,CZS,Martin,Grajcar,6,7,0,7,4,1,25,50,Bronze medal
1984,VNM,Võ,Thu Tùng,7,0,0,7,4,7,25,50,Bronze medal
1984,GER,Colin,Stahlke,3,7,4,6,4,0,24,53,Bronze medal
1984,NOR,John,Rognes,7,7,2,7,1,0,24,53,Bronze medal
1984,POL,Andrzej,Krzysztofowicz,5,0,5,7,7,0,24,53,Bronze medal
1984,ROU,Radu,Negulescu,7,3,2,7,5,0,24,53,Bronze medal
1984,USA,Douglas,Davidson,7,7,7,0,3,0,24,53,Bronze medal
1984,COL,Juan,Pereira,7,0,7,7,0,2,23,58,Bronze medal
1984,GER,Hagen,von Eitzen,7,7,0,7,0,2,23,58,Bronze medal
1984,POL,Piotr,Hajłasz,7,0,7,7,2,0,23,58,Bronze medal
1984,POL,Piotr,Nowak-Przygodzki,7,1,7,1,4,3,23,58,Bronze medal
1984,VNM,Nguyễn,Thúc Anh,7,7,0,6,3,0,23,58,Bronze medal
1984,FRA,E.,Sere,7,6,0,7,2,0,22,63,Bronze medal
1984,LUX,Marcel,Cox,7,1,0,7,7,0,22,63,Bronze medal
1984,NLD,Bart,de Smit,6,1,0,7,7,1,22,63,Bronze medal
1984,POL,Adam,Strzeboński,7,0,6,0,7,2,22,63,Bronze medal
1984,UNK,Ian David Bede,Stark,3,5,0,7,7,0,22,63,Bronze medal
1984,YUG,Andrej,Dujella,7,7,0,7,0,1,22,63,Bronze medal
1984,AUS,Matthew,Hardman,7,7,0,3,4,0,21,69,Bronze medal
1984,BRA,Alberto Maçaaki,Utsumi,7,7,0,2,4,1,21,21,Bronze medal
1984,CAN,Martin,Piotte,7,7,0,7,0,0,21,69,Bronze medal
1984,CYP,Petros,Hadjicostas,7,7,0,4,2,1,21,69,Bronze medal
1984,GDR,Jörg,Stahnke,5,7,0,7,1,1,21,69,Bronze medal
1984,HUN,László,Erdős,2,4,0,7,7,1,21,69,Bronze medal
1984,YUG,Roman,Drnovšek,4,1,0,7,7,2,21,69,Bronze medal
1984,BEL,Michel,Lesoinne,3,1,2,7,7,0,20,76,Bronze medal
1984,BRA,Cláudio de Carvalho,Chamon,7,7,0,6,0,0,20,76,Bronze medal
1984,BRA,Cláudio José,Morandini,7,1,2,7,0,3,20,76,Bronze medal
1984,BGR,Marin Ivanov,Marinov,7,0,0,7,4,2,20,76,Bronze medal
1984,CZS,Ján,Šefčík,7,7,0,6,0,0,20,76,Bronze medal
1984,POL,Michał,Wojciechowski,7,0,2,7,4,0,20,76,Bronze medal
1984,AUT,Stefan,Kiechl,7,2,1,6,3,0,19,82,Bronze medal
1984,COL,Javier,Pena,6,5,0,4,3,1,19,82,Bronze medal
1984,FRA,Thierry,Bousch,6,0,0,7,4,2,19,82,Bronze medal
1984,GDR,Alexander,Schmidt,7,3,0,6,0,3,19,82,Bronze medal
1984,MAR,Youssef,Islah,6,5,1,6,1,0,19,82,Bronze medal
1984,NLD,Hans,van Antwerpen,3,7,5,4,0,0,19,82,Bronze medal
1984,VNM,Nguyễn,Thị Minh Hà,7,0,0,4,4,4,19,82,Bronze medal
1984,AUT,Helmut,Kahlbacher,7,0,1,7,3,0,18,89,Bronze medal
1984,GER,Eckhard,Müller,7,3,0,7,0,1,18,89,Bronze medal
1984,MNG,C.,Enhbold,2,7,1,1,3,4,18,89,Bronze medal
1984,MNG,L.,Ganbold,4,4,0,4,6,0,18,89,Bronze medal
1984,ROU,Nicolae,Suciu,7,2,2,7,0,0,18,89,Bronze medal
1984,YUG,Nikola,Lakić,7,1,2,7,1,0,18,89,Bronze medal
1984,YUG,Aleksandar,Marković,7,1,0,7,3,0,18,89,Bronze medal
1984,CUB,A.,Torres Montoya,6,4,0,7,0,0,17,96,Bronze medal
1984,GDR,Oliver,Geupel,2,1,0,7,7,0,17,96,Bronze medal
1984,GER,Andreas,Wacker,7,3,0,0,0,7,17,96,Bronze medal
1984,AUS,Jonathon,Ennis,4,7,1,3,1,0,16,99,
1984,BEL,Philippe,Alphonse,2,4,2,1,7,0,16,99,
1984,BRA,Romildo Gonçalves,Valente,3,7,0,6,0,0,16,99,
1984,CAN,Mike,Molloy,7,2,1,0,6,0,16,99,
1984,CUB,J. R.,Presa Sague,2,7,0,7,0,0,16,99,
1984,BEL,Frédéric,van der Plancke,3,1,0,7,4,0,15,104,
1984,CAN,Mike,Bradley,5,0,0,7,3,0,15,104,
1984,CAN,Minh,Tue Vo,3,1,0,7,3,1,15,104,
1984,FRA,Patrice,Sauvalle,7,0,0,7,0,1,15,104,
1984,HEL,Ch.,Vazouras,7,2,0,6,0,0,15,104,
1984,UNK,Michael Corin,Harrison,7,7,0,0,1,0,15,104,
1984,ALG,K.,Makhloufi,2,4,0,7,1,0,14,110,
1984,HEL,L.,Polymenakos,7,1,0,4,0,2,14,110,
1984,NLD,Menke,Ubbens,6,1,1,6,0,0,14,110,
1984,YUG,Uroš,Seljak,7,3,0,0,4,0,14,110,
1984,MAR,A.,Azaou,5,0,0,7,0,1,13,114,
1984,SWE,Henrik,Dahlstrand,6,0,0,7,0,0,13,114,
1984,SWE,Torbjörn,Söderberg,7,1,0,5,0,0,13,114,
1984,TUN,N.,Lahyani,4,5,0,3,1,0,13,114,
1984,AUT,Johannes,Grassberger,2,7,0,3,0,0,12,118,
1984,CAN,Frank,D'Ippolito,5,5,0,2,0,0,12,118,
1984,COL,E.,Arrieta,7,0,0,5,0,0,12,118,
1984,CUB,M. T.,Alzugaray Rodriguez,5,7,0,0,0,0,12,118,
1984,YUG,Aleksandar,Zorović,2,1,0,7,2,0,12,118,
1984,ALG,M.,Ziane,2,3,0,6,0,0,11,123,
1984,BRA,André Hiroshi Hayashi,Alves,7,0,0,4,0,0,11,123,
1984,COL,I. E.,Ibanez,2,0,2,7,0,0,11,123,
1984,CUB,M.,Perera Chang,2,3,0,3,1,2,11,123,
1984,CYP,Adonis,Ioannides,3,0,1,6,1,0,11,123,
1984,CZS,Pavel,Krtouš,0,1,0,6,3,1,11,123,
1984,FIN,Jussi,Rahola,2,1,1,7,0,0,11,123,
1984,FRA,I.,Castin,3,4,0,4,0,0,11,123,
1984,HEL,T.,Apostolatos,2,1,0,7,1,0,11,123,
1984,ESP,Miguel,Aparisi Botella,4,0,0,6,1,0,11,123,
1984,AUT,Karl Michael,Göschka,2,1,0,2,4,1,10,133,
1984,AUT,Peter,Grabner,4,1,1,4,0,0,10,133,
1984,FIN,Pekka,Pitkänen,2,1,0,7,0,0,10,133,
1984,HEL,E.,Panigirakis,3,1,0,6,0,0,10,133,
1984,MAR,A.,Saadi,2,0,0,4,4,0,10,133,
1984,ESP,Pablo,Novaes Ledieu,3,7,0,0,0,0,10,133,
1984,COL,José,Munoz,2,0,0,0,7,0,9,139,
1984,CZS,Adam,Obdržálek,3,1,0,4,1,0,9,139,
1984,MNG,J.,Buinnemeh,3,3,0,0,3,0,9,139,
1984,ESP,Andrés,García Parilla,0,7,0,2,0,0,9,139,
1984,SWE,Henrik,Simán,2,0,1,6,0,0,9,139,
1984,ALG,R.,Bouckkeine,3,1,0,4,0,0,8,144,
1984,CUB,Karel,Roiz Wilson,2,1,1,0,4,0,8,144,
1984,SWE,Mikael,Staffas,4,0,0,4,0,0,8,144,
1984,CYP,Pavlos,Neophytou,2,2,0,3,0,0,7,147,
1984,HEL,I.,Korinthios,3,2,0,2,0,0,7,147,
1984,NLD,Harold,de Boer,2,1,0,4,0,0,7,147,
1984,ESP,Miguel,Brandt Sanz,3,1,1,1,0,1,7,147,
1984,AUS,Andrew,Jenkins,3,0,0,3,0,0,6,151,
1984,COL,Wilmar,Ariza,3,0,0,3,0,0,6,151,
1984,MAR,N.,Adrou Bakkali,4,2,0,0,0,0,6,151,
1984,SWE,Torbjörn,Hamrelius,3,0,0,3,0,0,6,151,
1984,TUN,Hasna,Riahi,2,1,1,2,0,0,6,151,
1984,KWT,H. M. S. A.,Ahmad,3,0,0,2,0,0,5,156,
1984,MAR,Khalil,Benhssein,2,0,0,3,0,0,5,156,
1984,NLD,Wiebe,Kees Goodijk,3,0,0,0,0,2,5,156,
1984,ESP,A.,Tejera Gómez,0,4,0,1,0,0,5,156,
1984,BEL,J.,Secru,1,1,0,2,0,0,4,160,
1984,BRA,Carlos Eduardo Rodrigues,Alves,4,0,0,0,0,0,4,160,
1984,CAN,Lily,Yen,3,0,0,1,0,0,4,160,
1984,CYP,Pavlos,Christodoulides,2,2,0,0,0,0,4,160,
1984,FIN,Kai,Vuorilehto,0,0,0,4,0,0,4,160,
1984,SWE,Peter,Röstin,3,0,0,0,1,0,4,160,
1984,ALG,A.,Kihel,0,0,0,3,0,0,3,166,
1984,CUB,Daniel,Alfaro Vigo,2,1,0,0,0,0,3,166,
1984,FIN,Miikka,Heinäsmäki,2,0,0,0,1,0,3,166,
1984,FIN,Jarno,Varteva,2,1,0,0,0,0,3,166,
1984,MAR,A.,Eddahir,2,0,0,1,0,0,3,166,
1984,TUN,S.,Charfi,2,1,0,0,0,0,3,166,
1984,TUN,T.,Mkadmi,2,0,0,1,0,0,3,166,
1984,AUS,John,Kramer,2,0,0,0,0,0,2,173,
1984,CYP,Aris,Neophytou,0,1,0,1,0,0,2,173,
1984,CYP,Savvas,Sideras,0,0,0,2,0,0,2,173,
1984,KWT,M. H. M. S.,Al-Shayeri,2,0,0,0,0,0,2,173,
1984,TUN,W.,Dachraout,2,0,0,0,0,0,2,173,
1984,TUN,O.,Kossentini,2,0,0,0,0,0,2,173,
1984,BEL,Ch.,Tersago,0,1,0,0,0,0,1,179,
1984,KWT,K. J. Sh.,Al-Amiri,1,0,0,0,0,0,1,179,
1984,KWT,H. E. A. A.,Nakhi,0,1,0,0,0,0,1,179,
1984,ESP,G.,Génova Fuster,1,0,0,0,0,0,1,179,
1984,BEL,C.,Rombouts,0,0,0,0,0,0,0,183,
1984,FIN,Elmar,Paananen,0,0,0,0,0,0,0,183,
1984,ITA,M.,Chilla,0,0,0,0,0,0,0,183,
1984,ITA,S.,Garuglieri,0,0,0,0,0,0,0,183,
1984,ITA,R.,Gianferri,0,0,0,0,0,0,0,183,
1984,ITA,D.,Perret,0,0,0,0,0,0,0,183,
1984,ITA,D.,Ponti,0,0,0,0,0,0,0,183,
1984,ITA,F.,Riccardi,0,0,0,0,0,0,0,183,
1984,KWT,F. F. M. S.,Al-Hajeri,0,0,0,0,0,0,0,183,
1984,KWT,J. A. J.,Quaddoumi,0,0,0,0,0,0,0,183,
1985,HUN,Géza,Kós,7,7,7,7,7,7,42,1,Gold medal
1985,ROU,Daniel,Tătaru,7,7,7,7,7,7,42,1,Gold medal
1985,HUN,Gábor,Megyesi,7,7,3,7,7,7,38,3,Gold medal
1985,BGR,Nikolai Ivanov,Chavdarov,7,7,2,7,7,7,37,4,Gold medal
1985,BEL,Philippe,Alphonse,7,7,1,7,7,7,36,5,Gold medal
1985,USS,Olga,Leonteva,7,7,7,7,1,7,36,5,Gold medal
1985,AUS,Andrew,Hassell,7,7,0,7,7,7,35,7,Gold medal
1985,BGR,Vasil Borisov,Daskalov,7,7,0,7,7,7,35,7,Gold medal
1985,USA,Waldemar,Horwat,7,7,7,7,0,7,35,7,Gold medal
1985,VNM,Nguyễn,Tiến Dũng,7,7,2,7,7,5,35,7,Gold medal
1985,GER,Hagen,von Eitzen,3,7,7,7,3,7,34,11,Gold medal
1985,ROU,Răzvan,Gelca,7,7,1,7,7,5,34,11,Gold medal
1985,ROU,Radu,Negulescu,7,7,3,7,4,6,34,11,Gold medal
1985,USA,Jeremy,Kahn,7,7,2,7,4,7,34,11,Gold medal
1985,BGR,Ivan Kolev,Dimitrov,7,7,7,2,2,7,32,15,Silver medal
1985,GDR,Ulrich,Meister,7,7,6,7,0,5,32,15,Silver medal
1985,ROU,Mugurel,Barcău,7,7,1,3,7,7,32,15,Silver medal
1985,UNK,Matthew John,Richards,7,7,1,7,7,3,32,15,Silver medal
1985,FRA,Laurent,Rosas,7,7,1,7,2,7,31,19,Silver medal
1985,ROU,Louis,Funar,7,7,2,4,7,4,31,19,Silver medal
1985,USA,Bjorn,Poonen,7,7,7,2,1,7,31,19,Silver medal
1985,ISR,Ori,Ganor,7,7,1,4,7,3,29,22,Silver medal
1985,USS,Oleg,Bondarenko,7,7,0,7,7,1,29,22,Silver medal
1985,USS,Anatoly,Malevanets,7,7,7,0,7,1,29,22,Silver medal
1985,USA,David,Grabiner,0,7,7,7,1,7,29,22,Silver medal
1985,VNM,Lâm,Tung Giang,7,7,0,4,7,4,29,22,Silver medal
1985,CAN,Minh,Tue Vo,7,7,1,2,7,4,28,27,Silver medal
1985,GER,Eckhard,Müller,3,7,7,2,2,7,28,27,Silver medal
1985,HUN,Géza,Makai,7,7,6,2,1,5,28,27,Silver medal
1985,IRN,Ehsan,Emami,7,6,3,0,5,7,28,27,Silver medal
1985,ROU,Andrei,Paraschivescu,7,7,2,7,0,5,28,27,Silver medal
1985,VNM,Huỳnh,Minh Wu,7,7,0,5,7,2,28,27,Silver medal
1985,UNK,Ian David Bede,Stark,7,7,2,4,7,0,27,33,Silver medal
1985,USA,David,Moews,7,7,4,0,4,5,27,33,Silver medal
1985,AUS,John,Graham,7,7,6,2,3,1,26,35,Silver medal
1985,GDR,Jörg,Jahnel,1,7,3,7,1,7,26,35,Silver medal
1985,HUN,Rita,Bán,7,2,0,7,7,3,26,35,Silver medal
1985,CZS,Marcel,Polakovič,7,7,0,4,0,7,25,38,Silver medal
1985,FRA,Laurent,Lafforgue,3,7,0,1,7,7,25,38,Silver medal
1985,BGR,Marin Ivanov,Marinov,7,7,0,3,7,0,24,40,Silver medal
1985,HEL,Paul,Tzermias,7,0,0,7,7,3,24,40,Silver medal
1985,MNG,Batgerel,Balt,7,5,0,5,7,0,24,40,Silver medal
1985,USA,Joseph,Keane,0,3,7,7,0,7,24,40,Silver medal
1985,BGR,Zvetoslav Alipiev,Petrov,7,7,1,1,5,2,23,44,Silver medal
1985,CZS,Jarmila,Ranošová,7,3,0,3,7,3,23,44,Silver medal
1985,POL,Krzysztof,Jeżevski,7,7,0,0,7,2,23,44,Silver medal
1985,CZS,Adam,Obdržálek,1,7,1,7,0,6,22,47,Silver medal
