Time,Type,Value,,,
16-Q1,Zero,43.9,ZŁĄCZ,,
16-Q1,Organic,54.0,16,Q1,Q1-16
16-Q1,Ad,2.1,16,Q1,Q1-16
16-Q2,Zero,44.3,16,Q1,Q1-16
16-Q2,Organic,53.6,16,Q2,Q2-16
16-Q2,Ad,2.2,16,Q2,Q2-16
16-Q3,Zero,45.8,16,Q2,Q2-16
16-Q3,Organic,51.7,16,Q3,Q3-16
16-Q3,Ad,2.5,16,Q3,Q3-16
16-Q4,Zero,46.0,16,Q3,Q3-16
16-Q4,Organic,51.3,16,Q4,Q4-16
16-Q4,Ad,2.7,16,Q4,Q4-16
17-Q1,Zero,46.0,16,Q4,Q4-16
17-Q1,Organic,51.5,17,Q1,Q1-17
17-Q1,Ad,2.5,17,Q1,Q1-17
17-Q2,Zero,47.5,17,Q1,Q1-17
17-Q2,Organic,49.8,17,Q2,Q2-17
17-Q2,Ad,2.7,17,Q2,Q2-17
17-Q3,Zero,48.0,17,Q2,Q2-17
17-Q3,Organic,49.0,17,Q3,Q3-17
17-Q3,Ad,3.0,17,Q3,Q3-17
17-Q4,Zero,47.8,17,Q3,Q3-17
17-Q4,Organic,48.6,17,Q4,Q4-17
17-Q4,Ad,3.6,17,Q4,Q4-17
18-Q1,Zero,47.5,17,Q4,Q4-17
18-Q1,Organic,49.0,18,Q1,Q1-18
18-Q1,Ad,3.6,18,Q1,Q1-18
18-Q2,Zero,47.7,18,Q1,Q1-18
18-Q2,Organic,48.4,18,Q2,Q2-18
18-Q2,Ad,3.9,18,Q2,Q2-18
18-Q3,Zero,48.2,18,Q2,Q2-18
18-Q3,Organic,48.1,18,Q3,Q3-18
18-Q3,Ad,3.7,18,Q3,Q3-18
18-Q4,Zero,48.8,18,Q3,Q3-18
18-Q4,Organic,47.3,18,Q4,Q4-18
18-Q4,Ad,4.0,18,Q4,Q4-18
19-Q1,Zero,49.0,18,Q4,Q4-18
19-Q1,Organic,47.4,19,Q1,Q1-19
19-Q1,Ad,3.7,19,Q1,Q1-19
19-Q2,Zero,49.8,19,Q1,Q1-19
19-Q2,Organic,46.1,19,Q2,Q2-19
19-Q2,Ad,4.1,19,Q2,Q2-19
19-Q3-july,Zero,50.3,19,Q2,Q2-19
19-Q3-july,Organic,45.3,19,ly,19-Q3-july
19-Q3-july,Ad,4.4,19,ly,19-Q3-july
