Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20191017;1;17000;17105,713
20191017;2;16400;16603,675
20191017;3;16100;16318,975
20191017;4;16300;16309,775
20191017;5;16700;16447,750
20191017;6;18200;17269,338
20191017;7;21300;19892,350
20191017;8;22100;21470,750
20191017;9;22500;22285,025
20191017;10;22500;22230,775
20191017;11;22300;21727,350
20191017;12;22300;21876,300
20191017;13;22400;21818,188
20191017;14;22500;21753,125
20191017;15;22100;21424,338
20191017;16;21800;21442,738
20191017;17;21600;21367,350
20191017;18;22400;21695,850
20191017;19;23800;22956,825
20191017;20;23800;23241,213
20191017;21;23000;22533,700
20191017;22;21400;20896,125
20191017;23;19700;19095,650
20191017;24;18300;17757,913
