"Sygnatura czasowa","Ile procent twoim zdobyła partia  M5S ?       (procenty sumują się do 100%)","Ile procent twoim zdaniem zdobyła partia  C's ?       (procenty sumują się do 100%)","Jakie 3 partie (pomijając Inne)  uzyskały najgorszy wynik? ","Uszereguj partie w kolejności od tej która zdobyła najwięcej głosów."
"2019/12/03 6:33:14 PM CET","15%","10%","VOX,  Coal(UP+IU+...), PP","LN, PD, M5S, FI, FDI"
"2019/12/03 6:35:15 PM CET","15%","12%","PP, Coal(UP+IU+...), PSOE/PSC","M5S, LN, PD, FDI, FI"
"2019/12/03 6:36:31 PM CET","17%","14%","VOX, PP,  C's","LN, PD, FDI, FI, M5S"
"2019/12/03 6:38:55 PM CET","17%","16%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/03 6:39:38 PM CET","15%","16%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/03 6:40:25 PM CET","15%","12%","VOX,  Coal(UP+IU+...), PP","M5S, LN, PD, FDI, FI"
"2019/12/03 6:52:48 PM CET","15%","14%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/03 7:22:18 PM CET","15%","12%","VOX, PP,  C's","LN, PD, M5S, FI, FDI"
"2019/12/03 7:51:17 PM CET","17%","12%","VOX,  Coal(UP+IU+...), PP","LN, PD, M5S, FI, FDI"
"2019/12/03 8:32:55 PM CET","17%","12%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/03 8:39:02 PM CET","15%","12%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/03 8:52:53 PM CET","17%","16%","VOX, PP,  C's","LN, PD, M5S, FI, FDI"
"2019/12/04 8:06:43 AM CET","15%","14%","VOX,  Coal(UP+IU+...), PP","LN, PD, M5S, FI, FDI"
"2019/12/04 3:09:32 PM CET","17%","14%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/04 11:46:16 PM CET","15%","12%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/05 2:47:43 PM CET","17%","12%","VOX, PP,  C's","LN, PD, M5S, FI, FDI"
"2019/12/05 9:51:19 PM CET","22%","12%","VOX,  Coal(UP+IU+...), PP","LN, PD, M5S, FI, FDI"
"2019/12/05 10:32:45 PM CET","15%","14%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
"2019/12/06 7:39:18 AM CET","13%","12%","Coal(UP+IU+...) , VOX , C's","LN, PD, M5S, FI, FDI"
