Sygnatura czasowa,Czy liczba liter A jest 2 razy większa niż liter B?,W których krajach liczba słuchaczy była taka sama?,Która pod względem liczby słuchaczy była Polska?,Ile razy więcej było słuchaczy w Niemczech niż w Polsce?,Z którego kraju było najwięcej tancerzy?,Ile krajów miało tyle samo tancerzy ludowych?,Ile razy więcej było tancerzy na Litwie niż w Szwecji?,W którym kraju liczba koni turniejowych jest największa?,W których krajach liczba koni turniejowych jest taka sama? ,Ile razy więcej koni turniejowych było z Niemiec niż z Polski?,Czy dzieci 2 razy częsciej wskazywały koty jako ulubione zwierzę niż  króliki?,Czy dzieci 3 razy częsciej wskazywały psy jako ulubione zwierzę niż  lamy?,Czy liczba koni w zadanich matematycznych była 3 razy większa niż kotów?,Czy liczba królików w zadanich matematycznych była 2 razy większa niż owiec?,Czy kotów było dwa razy więcej niż lam u weterynarza w mieście Sandomierz?,Czy psów było trzy razy więcej niż królików u weterynarza w mieście Sandomierz?,Płeć,Wiek (wpisz liczbę lat)
2019-12-05 19:43:10,nie,"Litwa, Szwecja",3,2,Litwa,2,3,Litwa,żadnych,1.5,nie,nie,nie,nie,nie,nie,kobieta,23
2019-12-05 20:25:33,nie,"Litwa, Szwecja",2,1.5,Litwa,2,1.5,Szwecja,żadnych,1.5,nie,tak,tak,nie,nie,tak,mężczyzna,22
2019-12-05 20:43:59,nie,"Litwa, Szwecja",2,2,Litwa,2,2.5,Szwecja,żadnych,1.5,nie,tak,nie,nie,nie,nie,mężczyzna,47
2019-12-05 20:52:42,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Litwa,żadnych,1.5,nie,nie,nie,nie,nie,nie,mężczyzna,25
2019-12-05 21:00:46,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Szwecja,żadnych,1.5,nie,nie,nie,nie,nie,nie,mężczyzna,23
2019-12-05 21:10:15,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Szwecja,żadnych,2,nie,nie,nie,nie,nie,nie,mężczyzna,23
2019-12-05 21:17:51,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Szwecja,"Belgia, Hiszpania",1.5,nie,nie,nie,nie,nie,nie,mężczyzna,22
2019-12-05 21:29:26,nie,"Litwa, Szwecja",2,2,Litwa,każdy miał inną liczbę,2,Szwecja,"Belgia, Hiszpania",1.5,nie,nie,nie,nie,nie,nie,mężczyzna,21
2019-12-05 21:35:25,nie,"Litwa, Szwecja",2,2,Litwa,każdy miał inną liczbę,2.5,Szwecja,żadnych,1.5,nie,nie,nie,nie,nie,nie,mężczyzna,20
2019-12-06 00:06:48,nie,"Litwa, Szwecja",2,2,Litwa,każdy miał inną liczbę,3,Szwecja,"Belgia, Hiszpania",1.5,nie,nie,nie,nie,nie,nie,kobieta,22
2019-12-06 00:11:02,nie,"Litwa, Szwecja, Belgia",2,2,Litwa,każdy miał inną liczbę,1.5,Szwecja,żadnych,2,tak,tak,nie,nie,nie,nie,mężczyzna,22
2019-12-06 00:20:45,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Szwecja,żadnych,1.5,tak,tak,nie,nie,nie,nie,kobieta,16
2019-12-06 00:27:54,nie,"Litwa, Szwecja",2,1.5,Litwa,2,3,Hiszpania,żadnych,2,tak,tak,nie,nie,nie,nie,mężczyzna,22
2019-12-06 00:32:45,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Szwecja,żadnych,3,nie,nie,nie,nie,nie,nie,mężczyzna,22
2019-12-06 08:16:44,nie,"Szwecja, Belgia",3,1.5,Litwa,każdy miał inną liczbę,2.5,Szwecja,żadnych,2,nie,tak,nie,tak,nie,nie,kobieta,22
2019-12-06 09:11:14,nie,"Litwa, Szwecja",2,2,Litwa,każdy miał inną liczbę,2.5,Szwecja,"Belgia, Hiszpania",1.5,nie,nie,nie,tak,nie,nie,mężczyzna,25
2019-12-06 12:56:05,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Szwecja,żadnych,1.5,nie,nie,nie,nie,nie,nie,kobieta,24
2019-12-06 13:41:40,nie,"Litwa, Szwecja",2,2,Litwa,2,3,Szwecja,żadnych,2,nie,tak,nie,nie,nie,nie,kobieta,25
