"Sygnatura czasowa","Urodziło się ponad 2 razy więcej Zuzann (1. miejsce) niż Oliwii (10. miejsce).","Urodziło się ponad 2 razy więcej Antonich (1. miejsce) niż Kacprów (10. miejsce).","Podaj płeć:","Wpisz swój wiek:"
"2019/11/27 2:00:04 PM CET","","","",""
"2019/11/27 2:03:58 PM CET","Tak","Tak","Mężczyzna","21"
"2019/11/27 2:06:49 PM CET","Tak","Trudno powiedzieć","Kobieta","23"
"2019/11/27 2:12:53 PM CET","Tak","Nie","Kobieta","39"
"2019/11/27 2:13:26 PM CET","Trudno powiedzieć","Nie","Kobieta","21"
"2019/11/27 2:13:59 PM CET","Trudno powiedzieć","Tak","Mężczyzna","21"
"2019/11/27 2:16:50 PM CET","Tak","Nie","Kobieta","21"
"2019/11/27 2:17:38 PM CET","Tak","Nie","Kobieta","18"
"2019/11/27 2:18:59 PM CET","Tak","Tak","Mężczyzna","20"
"2019/11/27 2:21:42 PM CET","Tak","Tak","Kobieta","21"
"2019/11/27 2:22:00 PM CET","Nie","Nie","Mężczyzna","21"
"2019/11/27 2:22:15 PM CET","Trudno powiedzieć","Tak","Mężczyzna","21"
"2019/11/27 2:22:15 PM CET","Tak","Trudno powiedzieć","Kobieta","21"
"2019/11/27 2:25:08 PM CET","Tak","Tak","Kobieta","20"
"2019/11/27 2:26:22 PM CET","Tak","Nie","Kobieta","21"
"2019/11/27 2:26:43 PM CET","Tak","Tak","Kobieta","36"
"2019/11/27 2:37:03 PM CET","Tak","Nie","Mężczyzna","19"
"2019/11/27 2:41:02 PM CET","Tak","Tak","Kobieta","21"
"2019/11/27 2:59:50 PM CET","Tak","Nie","Mężczyzna","21"
"2019/11/27 3:00:11 PM CET","Tak","Trudno powiedzieć","Kobieta","60"
"2019/11/27 3:04:25 PM CET","Tak","Nie","Kobieta","23"
"2019/11/27 3:04:43 PM CET","Nie","Nie","Mężczyzna","21"
"2019/11/27 5:00:44 PM CET","Tak","Nie","Mężczyzna","21"
"2019/11/27 7:54:16 PM CET","Tak","Tak","Mężczyzna","60"
"2019/11/28 7:06:29 AM CET","Tak","Tak","Kobieta","20"
"2019/11/28 4:15:55 PM CET","Trudno powiedzieć","Trudno powiedzieć","Kobieta","62"
"2019/11/28 4:22:11 PM CET","Nie","Nie","Kobieta","20"
"2019/11/28 4:22:12 PM CET","Tak","Nie","Kobieta","39"
"2019/11/28 4:48:33 PM CET","Tak","Nie","Kobieta","24"
"2019/11/28 4:53:41 PM CET","Trudno powiedzieć","Nie","Kobieta","19"
"2019/11/28 6:03:36 PM CET","Tak","Nie","Kobieta","21"
"2019/11/28 10:30:20 PM CET","Tak","Tak","Kobieta","20"
"2019/11/28 10:59:40 PM CET","Nie","Nie","Mężczyzna","21"
"2019/12/06 12:29:49 PM CET","Tak","Trudno powiedzieć","Mężczyzna","22"
"2019/12/06 12:30:36 PM CET","Tak","Trudno powiedzieć","Mężczyzna","22"
"2019/12/06 12:31:05 PM CET","Tak","Nie","Kobieta","20"
"2019/12/06 12:31:32 PM CET","Tak","Trudno powiedzieć","Kobieta","19"
"2019/12/06 12:31:53 PM CET","Nie","Nie","Mężczyzna","27"
"2019/12/06 12:32:26 PM CET","Trudno powiedzieć","Tak","Mężczyzna","22"
"2019/12/06 12:32:54 PM CET","Tak","Trudno powiedzieć","Mężczyzna","21"
"2019/12/06 12:33:41 PM CET","Tak","Nie","Mężczyzna","50"
