CZAS,A1.1,A1.2,A1.3,A1.4,A2.1,A2.2,A2.3,A2.4,A3,B1.1,B1.2,B1.3,B1.4,B2.1,B2.2,B2.3,B2.4,B3,PLEC,WIEK,STATUS,KIERUNEK
2019/11/30 4:27:27 PM CET,,,,,1,1,1,2,Oppo,,,,,,,,,,Kobieta,Mniej niż 18,Uczniem,
2019/11/30 4:33:05 PM CET,,,,,1,1,1,2,Oppo,,,,,2,2,2,2,Sudan,Kobieta,18-25,Studentem (lub pracującym studentem),Kulturoznawstwo
2019/11/30 4:37:55 PM CET,,,,,1,1,1,2,Oppo,,,,,2,2,2,2,Sudan,Mężczyzna,18-25,Studentem (lub pracującym studentem),Informatyka
2019/11/30 4:41:01 PM CET,,,,,1,1,1,2,Oppo,,,,,2,1,2,2,Sudan,Mężczyzna,41-60,Zatrudniony,
2019/11/30 4:43:01 PM CET,,,,,1,1,1,2,Oppo,,,,,2,2,2,2,Sudan,Kobieta,18-25,Studentem (lub pracującym studentem),Inżynieria materiałowa 
2019/11/30 4:44:03 PM CET,,,,,1,1,1,2,Oppo,,,,,2,2,2,2,Sudan,Mężczyzna,18-25,Studentem (lub pracującym studentem),SGH MIESI
2019/11/30 4:44:14 PM CET,,,,,1,1,1,2,Oppo,,,,,1,1,2,2,Sudan,Mężczyzna,18-25,Studentem (lub pracującym studentem),Wychowanie Fizyczne 
2019/11/30 4:49:40 PM CET,,,,,,2,1,1,Oppo,,,,,2,2,2,1,Południowa Afryka,Kobieta,18-25,Studentem (lub pracującym studentem),Lekarski
2019/11/30 4:50:39 PM CET,,,,,1,1,1,2,Oppo,,,,,2,2,2,1,Sudan,Kobieta,18-25,Studentem (lub pracującym studentem),Lekarski
2019/11/30 5:04:23 PM CET,,,,,2,1,1,2,Nokia,,,,,2,2,2,2,Sudan,Mężczyzna,18-25,Studentem (lub pracującym studentem),Lekarski
2019/11/30 5:32:54 PM CET,Apple,Samsung,Huawei,Xiaomi,1,1,1,2,Oppo,Nigeria,Etiopia,Egipt,DR Konga,2,2,2,2,Sudan,Mężczyzna,18-25,Studentem (lub pracującym studentem),Lekarski
2019/11/30 5:40:23 PM CET,Apple,Samsung,Huawei,Nokia,,,1,,Motorola,Nigeria,Etiopia,Egipt,DR Konga,2,1,2,2,Algieria,Mężczyzna,18-25,Studentem (lub pracującym studentem),Wzornictwo
2019/11/30 5:55:17 PM CET,Apple,Sony,Samsung,Huawei,2,1,2,1,Nokia,Nigeria,Etiopia,Egipt,DR Konga,2,2,2,2,Sudan,Mężczyzna,18-25,Studentem (lub pracującym studentem),Lekarski
