"Timestamp","Borderlands 1","Borderlands 2","Borderlands Pre-Sequel ","Borderlands 3"
"2019/08/15 8:12:13 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 8:12:47 pm GMT+3","","","",""
"2019/08/15 8:18:19 pm GMT+3","Lilith","Maya","Athena","Fl4k"
"2019/08/15 8:19:45 pm GMT+3","Mordecai","Salvador","Jack","Amara"
"2019/08/15 8:20:03 pm GMT+3","Brick","Maya","Athena","Amara"
"2019/08/15 8:20:07 pm GMT+3","Lilith","Salvador","Jack","Moze"
"2019/08/15 8:20:10 pm GMT+3","Lilith","Salvador","Jack","Moze"
"2019/08/15 8:21:19 pm GMT+3","Mordecai","Gaige","Jack","Zane"
"2019/08/15 8:22:32 pm GMT+3","Mordecai","Axton","Athena","Zane"
"2019/08/15 8:22:47 pm GMT+3","Roland","Krieg","Wilhelm","Fl4k"
"2019/08/15 8:23:26 pm GMT+3","Mordecai","Salvador","Wilhelm","Moze"
"2019/08/15 8:24:49 pm GMT+3","Roland","Gaige","Jack",""
"2019/08/15 8:25:17 pm GMT+3","Lilith","Maya","Athena","Moze"
"2019/08/15 8:25:24 pm GMT+3","Mordecai","Zer0","Jack","Zane"
"2019/08/15 8:25:52 pm GMT+3","Roland","Gaige","Jack","Moze"
"2019/08/15 8:26:16 pm GMT+3","Lilith","Krieg","Athena","Fl4k"
"2019/08/15 8:27:46 pm GMT+3","Lilith","Maya","Athena","Fl4k"
"2019/08/15 8:27:49 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 8:27:53 pm GMT+3","Lilith","Maya","Claptrap","Amara"
"2019/08/15 8:28:11 pm GMT+3","Mordecai","Zer0","Athena","Zane"
"2019/08/15 8:28:45 pm GMT+3","Lilith","Krieg","Athena","Amara"
"2019/08/15 8:29:44 pm GMT+3","Lilith","Zer0","Athena","Fl4k"
"2019/08/15 8:30:23 pm GMT+3","Mordecai","Axton","Wilhelm","Fl4k"
"2019/08/15 8:31:04 pm GMT+3","Lilith","Zer0","Jack","Amara"
"2019/08/15 8:31:26 pm GMT+3","Mordecai","Zer0","Nisha","Fl4k"
"2019/08/15 8:31:31 pm GMT+3","Mordecai","Axton","Jack","Fl4k"
