"Sygnatura czasowa","Jaki (procentowy) spadek zabitych nastąpił między pikiem(maksymalną wartością) a rokiem 2018?","W którym roku wystąpiła największa liczba zabitych?","Napisz co twoim zdaniem przedstawia wykres","Czy oś pozioma(z datami) jest czytelna?"
"2019/12/04 11:33:40 PM CET","50","1980","Właściwie to nie mam pojęcia","Nie"
"2019/12/04 11:42:35 PM CET","Duuuuuży","1990 jakoś chyba","Wykres zależnośxi zabitych od roku","Tak"
"2019/12/04 11:42:57 PM CET","30%","1990","Zmiany liczby zabitych na przestrzeni lat 1975-2018","Nie"
"2019/12/04 11:51:31 PM CET","50","1990","Liczbę zabitych osób w poszczególnych latach","Nie"
"2019/12/05 12:36:37 AM CET","90","1991","Liczbę osób zabitych w poszczególnych latach","Tak"
"2019/12/05 12:36:52 AM CET","Nie wiem ","Tak","Ilość Ludzi zabitych w latach 1975-2018","Tak"
"2019/12/05 12:42:48 AM CET","60","Jakos 1985","Ilość osob zabitych w poszczególnych latch","Tak"
"2019/12/05 12:47:57 AM CET","85%","1991","osoby zabite bezpośrednio przez napastnika, prawdopodobnie należące do węższej grupy np.osoby pewnej rasy, orientacji lub w jakimś wieku","Nie"
"2019/12/05 12:52:19 AM CET","70%","1990","Liczba zabitych w danym roku","Tak"
"2019/12/05 1:10:45 AM CET","40%","1986","Zabitych","Nie"
"2019/12/05 1:10:47 AM CET","70%","2010","Ilość zabitych w każdym roku","Nie"
"2019/12/05 1:12:02 AM CET","90","1987","Liczba zabitych mieszkańców na danym terenie ","Trudno powiedzieć"
"2019/12/05 1:16:25 AM CET","Nie wiem ","1990 któryś ","Liczba zabitych w poszczególnych latach (gdzie i dlaczego?)","Nie"
"2019/12/05 5:51:14 AM CET","40%","1989","Ilość osób zabitych w danym roku ","Nie"
"2019/12/05 6:45:04 AM CET","15%","1990","Ilość ludzi zabitych w jakieś określonej grupie w danym roku","Nie"
"2019/12/05 6:54:04 AM CET","30","1980","liczbę zgonów","Nie"
"2019/12/05 7:29:58 AM CET","70","1978","Ilość zabitych ludzi gdzieś ","Tak"
"2019/12/05 7:43:04 AM CET","Nie umiem w matmę ","Tam nie było roku, tylko rząd losowych liczb ","Ilość zabitych względem rzędu nieczytelnych liczb","Nie"
"2019/12/05 10:00:38 AM CET","3000","1985","wykres przedstawia ilość osób zabitych w danym roku ","Nie"
"2019/12/05 1:12:48 PM CET","66%","1990","Liczbę zabitych w każdym roku od 1975","Trudno powiedzieć"
"2019/12/05 1:57:34 PM CET","80","1990","Stosunek zabitych do czasu kiedy to się stało ","Nie"
"2019/12/05 2:49:37 PM CET","60","1990","Zaleznosc ilosci zabitych do roku","Nie"
