Month,global,European
197901,-0.2309,-2.5160
197902,-0.4906,-1.4645
197903,-0.2922,-0.2274
197904,-0.3259,-1.9469
197905,-0.2858,0.0266
197906,-0.2580,0.4947
197907,-0.3306,-1.8200
197908,-0.2336,-0.9574
197909,-0.1801,-0.3754
197910,-0.1248,-1.5155
197911,-0.1470,-0.1412
197912,0.0667,0.9545
198001,-0.1084,-2.7203
198002,-0.0513,-0.6622
198003,-0.0826,-2.3798
198004,-0.0015,-1.2208
198005,0.0697,-2.2883
198006,-0.0799,-0.2567
198007,-0.0425,-1.3797
198008,-0.1085,-0.9603
198009,-0.1715,-0.1490
198010,-0.2160,-0.7506
198011,-0.1920,-1.2985
198012,-0.2736,-0.5083
198101,0.0171,-0.6395
198102,-0.0524,-0.5995
198103,0.0305,-0.1610
198104,-0.0305,-1.3685
198105,-0.0690,-0.4524
198106,-0.0755,0.0222
198107,-0.0747,-0.7314
198108,-0.0603,-0.9044
198109,-0.1398,0.1507
198110,-0.1792,0.4590
198111,-0.1878,-0.4250
198112,-0.0359,-0.8354
198201,-0.3861,-1.5790
198202,-0.2909,-0.7420
198203,-0.4431,-0.2521
198204,-0.3551,-1.0247
198205,-0.2111,-0.5378
198206,-0.2463,-0.9937
198207,-0.1711,-0.5398
198208,-0.2779,-0.6010
198209,-0.2693,0.7292
198210,-0.2803,-0.4053
198211,-0.2834,0.7222
198212,-0.0342,1.3855
198301,0.0396,1.5802
198302,0.0040,-1.3158
198303,0.0060,0.0654
198304,-0.0941,0.6747
198305,0.0277,0.1802
198306,-0.0920,-0.6637
198307,-0.1496,0.1863
198308,-0.0738,-0.8631
198309,-0.0007,0.4966
198310,-0.2356,-0.2479
198311,-0.1167,-0.7166
198312,-0.2251,-0.0062
198401,-0.2111,0.5064
198402,-0.3605,-0.4715
198403,-0.1985,-1.6647
198404,-0.2865,-0.1646
198405,-0.0539,-0.1624
198406,-0.3321,-1.1891
198407,-0.3649,-1.3691
198408,-0.2626,-1.3130
198409,-0.2898,-0.3051
198410,-0.2823,0.4760
198411,-0.4153,0.0324
198412,-0.4044,-0.5464
198501,-0.2315,-4.5670
198502,-0.4976,-5.0128
198503,-0.3365,-1.8060
198504,-0.2901,-0.6465
198505,-0.2760,-0.1674
198506,-0.2926,-1.1542
198507,-0.3687,-0.9690
198508,-0.2183,-0.0019
198509,-0.3246,-0.2846
198510,-0.4071,-0.0893
198511,-0.3566,-1.4610
198512,-0.3469,-0.4904
198601,-0.2416,-0.5688
198602,-0.1812,-3.8232
198603,-0.2186,-0.1122
198604,-0.1174,-0.5780
198605,-0.1084,0.3260
198606,-0.2742,0.3281
198607,-0.2816,-0.8231
198608,-0.2613,-0.7074
198609,-0.3307,-1.2217
198610,-0.3542,-0.1597
198611,-0.2640,0.4740
198612,-0.2482,-1.5464
198701,-0.1421,-5.4427
198702,-0.0920,-0.5173
198703,-0.2871,-3.9567
198704,-0.1516,-0.9318
198705,-0.1118,-1.4106
198706,-0.0174,-0.7881
198707,0.0778,-0.7577
198708,-0.0949,-1.6132
198709,-0.0279,0.3719
198710,-0.1066,0.0272
198711,-0.1359,-0.3158
198712,0.0729,-0.0080
198801,0.0599,1.2047
198802,-0.1360,0.4589
198803,0.0022,-0.7714
198804,-0.0064,-0.9906
198805,0.0585,0.3128
198806,0.0170,-0.0354
198807,-0.0303,0.5094
198808,0.0094,-0.2902
198809,0.0089,0.0697
198810,-0.1119,-0.4037
198811,-0.3316,-2.6044
198812,-0.1708,-0.3772
198901,-0.4052,1.7087
198902,-0.1396,2.7586
198903,-0.1631,2.4178
198904,-0.1324,0.7434
198905,-0.2464,0.2820
198906,-0.2324,0.0439
198907,-0.0708,-0.2316
198908,-0.1457,-0.1737
198909,-0.0867,0.2272
198910,-0.1352,0.0394
198911,-0.2527,-0.2291
198912,-0.0410,0.4818
199001,-0.0391,0.5195
199002,-0.0777,4.5412
199003,0.2671,2.3138
199004,0.1302,0.0885
199005,0.1443,-0.2071
199006,-0.0106,-0.6599
199007,0.0889,-0.7366
199008,0.0098,-0.2583
199009,-0.0343,-0.9881
199010,0.0814,0.3127
199011,0.1168,0.4203
199012,0.0494,0.4032
199101,0.0252,0.4361
199102,0.0746,-1.9386
199103,-0.0587,0.5464
199104,0.0598,-0.7040
199105,-0.0158,-2.1692
199106,0.2017,-0.6941
199107,0.1192,0.1000
199108,0.0362,0.1337
199109,-0.0056,0.1868
199110,-0.1087,-0.3545
199111,-0.1209,0.5091
199112,-0.1381,-0.4206
199201,-0.0193,0.3838
199202,-0.0535,0.8280
199203,-0.0529,0.7433
199204,-0.2370,-1.0515
199205,-0.1777,0.0707
199206,-0.1489,-0.3185
199207,-0.2948,-0.8981
199208,-0.3124,0.6469
199209,-0.4129,-0.0651
199210,-0.3618,-2.3073
199211,-0.3805,-0.2676
199212,-0.2644,0.2818
199301,-0.1167,0.8995
199302,-0.1113,-0.0863
199303,-0.1695,-0.6754
199304,-0.1434,-0.2283
199305,-0.1343,0.6206
199306,-0.1288,-1.0379
199307,-0.1836,-1.2947
199308,-0.2087,-0.8944
199309,-0.3204,-1.8167
199310,-0.1906,-0.7987
199311,-0.3052,-3.3096
199312,-0.1540,1.0306
199401,-0.2047,1.5457
199402,-0.4391,-1.6776
199403,-0.2242,0.7500
199404,-0.0979,0.6024
199405,-0.1875,-0.5780
199406,-0.0802,-0.6085
199407,-0.1083,1.1092
199408,-0.2086,0.3823
199409,-0.0425,1.0069
199410,-0.0524,-0.3333
199411,-0.0120,0.4966
199412,-0.0731,0.6658
199501,0.0619,0.5284
