lok_sabha,year,man,woman,term
1st Lok Sabha,1951,NA,NA,1
2nd Lok Sabha,1957,NA,NA,2
3rd Lok Sabha,1962,63.3,46.6,3
4th Lok Sabha,1967,66.6,54.8,4
5th Lok Sabha,1971,59,48.6,5
6th Lok Sabha,1977,64.9,54.4,6
7th Lok Sabha,1980,61.1,50.6,7
8th Lok Sabha,1984,60.7,58.2,8
9th Lok Sabha,1989,65,56.8,9
10th Lok Sabha,1991,60.8,50.8,10
11th Lok Sabha,1996,61,52.8,11
12th Lok Sabha,1998,64.9,57,12
13th Lok Sabha,1999,63,55.9,13
14th Lok Sabha,2004,60.8,52.8,14
15th Lok Sabha,2009,60.1,55,15
16th Lok Sabha,2014,66.6,64.7,16
17th Lok Sabha,2019,66.4,66.3,17
