Date,CON,LAB,LD,BRX,GRN,SNP,UKIP,PC,TIGfC
10/10/2019,33,27,18,12,4,4,NA,1,NA
09/10/2019,35,22,20,12,6,4,0,1,1
06/10/2019,33,27,19,13,3,4,1,1,NA
04/10/2019,31,26,20,11,7,3,0,1,0
04/10/2019,38,23,15,12,4,5,1,0,0
01/10/2019,34,21,23,12,5,3,0,1,0
27/09/2019,36,24,20,11,2,5,0,1,0
27/09/2019,33,22,21,13,5,4,0,1,0
25/09/2019,27,24,22,16,3,4,NA,NA,NA
25/09/2019,33,22,22,14,6,3,0,1,0
20/09/2019,37,22,17,12,4,4,2,1,0
20/09/2019,30,23,22,14,5,4,0,0,0
19/09/2019,29,27,21,13,5,4,NA,NA,1
18/09/2019,32,21,23,14,4,4,1,1,0
16/09/2019,33,24,23,10,4,4,0,0,0
13/09/2019,37,25,16,13,2,4,1,1,0
12/09/2019,28,27,20,13,5,4,1,1,1
10/09/2019,32,23,19,14,7,4,0,0,0
09/09/2019,38,24,20,7,3,4,1,1,1
08/09/2019,30,29,17,13,4,3,1,1,NA
07/09/2019,31,28,17,13,4,5,1,0,NA
06/09/2019,35,21,19,12,7,4,0,0,0
06/09/2019,31,28,19,15,2,3,0,0,0
06/09/2019,29,24,18,17,3,4,NA,NA,NA
06/09/2019,31,27,20,13,3,3,1,1,0
06/09/2019,35,25,17,13,3,5,1,0,0
04/09/2019,33,26,17,14,3,4,0,1,0
03/09/2019,35,25,16,11,7,4,1,1,0
03/09/2019,37,30,16,9,4,3,1,1,NA
31/08/2019,35,24,18,14,4,4,0,1,1
30/08/2019,31,24,21,14,3,4,NA,1,NA
29/08/2019,33,22,21,12,7,4,0,1,0
28/08/2019,34,22,17,13,8,4,1,1,0
23/08/2019,33,21,19,14,7,4,0,1,0
23/08/2019,32,26,15,16,4,5,1,1,NA
21/08/2019,32,22,20,12,7,4,0,1,0
19/08/2019,42,28,15,5,3,5,0,0,1
14/08/2019,30,21,20,14,8,4,1,1,0
12/08/2019,31,25,19,12,7,3,1,1,0
11/08/2019,28,24,21,15,3,4,NA,0,NA
11/08/2019,31,27,16,16,4,3,1,NA,NA
09/08/2019,31,28,13,16,5,4,1,1,0
06/08/2019,31,22,21,14,7,4,0,0,0
30/07/2019,34,24,20,9,6,5,1,1,0
30/07/2019,32,22,19,13,8,4,0,1,0
27/07/2019,30,25,18,14,4,4,1,1,2
26/07/2019,31,21,20,13,8,5,0,1,0
26/07/2019,30,28,16,15,5,5,1,1,0
25/07/2019,28,27,19,16,4,3,1,NA,NA
24/07/2019,25,19,23,17,9,4,1,1,0
17/07/2019,25,21,20,19,8,4,0,1,0
16/07/2019,25,28,17,19,5,4,1,NA,NA
11/07/2019,24,28,15,20,5,3,1,NA,NA
11/07/2019,23,29,19,20,3,4,NA,1,NA
10/07/2019,24,20,19,21,9,5,0,1,0
07/07/2019,25,28,16,19,5,3,1,NA,0
05/07/2019,23,25,15,22,8,5,1,1,1
05/07/2019,28,27,18,14,6,2,2,1,1
03/07/2019,24,18,20,23,9,4,0,1,0
25/06/2019,22,20,19,22,10,4,1,1,0
25/06/2019,26,24,22,12,8,5,1,NA,0
20/06/2019,20,26,16,23,6,4,2,1,1
20/06/2019,24,26,18,20,6,3,1,1,1
19/06/2019,20,20,21,23,9,4,1,1,0
14/06/2019,21,21,19,24,9,3,0,1,0
10/06/2019,17,19,22,26,8,4,0,1,1
09/06/2019,23,27,17,22,5,3,1,1,1
07/06/2019,26,27,17,18,6,3,1,1,1
06/06/2019,18,20,20,26,9,5,1,0,0
05/06/2019,18,19,22,25,9,4,NA,0,NA
01/06/2019,18,19,23,23,10,5,NA,0,NA
30/05/2019,20,26,16,24,5,4,1,1,4
30/05/2019,17,22,16,26,11,4,1,1,1
29/05/2019,19,19,24,22,8,NA,1,NA,1
22/05/2019,28,33,13,12,3,3,3,0,2
21/05/2019,21,31,13,19,5,4,3,NA,4
20/05/2019,22,26,12,25,4,4,2,1,2
17/05/2019,24,24,18,18,6,NA,2,NA,2
17/05/2019,27,32,13,13,3,5,2,0,2
16/05/2019,22,29,11,24,3,4,2,0,3
14/05/2019,25,25,16,18,7,NA,2,NA,2
14/05/2019,25,27,15,16,7,4,3,1,2
13/05/2019,21,30,13,19,5,4,2,NA,6
13/05/2019,25,34,15,10,3,5,4,2,1
12/05/2019,20,27,13,20,4,3,4,NA,6
10/05/2019,27,30,18,10,6,2,3,0,3
10/05/2019,22,28,11,21,6,4,4,NA,4
09/05/2019,19,27,14,20,5,3,3,1,7
09/05/2019,24,24,16,18,7,NA,2,NA,2
07/05/2019,25,30,11,17,5,3,4,1,2
30/04/2019,29,29,13,15,5,NA,2,NA,3
24/04/2019,27,30,11,14,5,NA,4,NA,3
24/04/2019,27,36,8,13,3,4,5,NA,4
23/04/2019,26,33,6,17,4,5,4,1,4
17/04/2019,26,29,8,14,4,4,5,1,5
17/04/2019,29,30,10,12,5,NA,4,NA,3
16/04/2019,23,33,7,14,3,3,5,1,9
12/04/2019,29,36,8,NA,4,5,11,1,NA
11/04/2019,28,32,11,8,5,NA,6,NA,3
08/04/2019,31,40,8,NA,5,4,8,1,NA
08/04/2019,32,35,11,NA,4,5,7,1,NA
07/04/2019,32,32,7,NA,3,3,9,0,9
05/04/2019,35,34,11,NA,5,4,6,1,NA
03/04/2019,32,31,12,5,4,NA,7,NA,NA
29/03/2019,35,35,9,NA,5,4,9,0,NA
25/03/2019,36,33,11,5,4,NA,4,NA,NA
24/03/2019,33,33,8,NA,3,3,7,1,9
22/03/2019,36,35,7,NA,4,5,9,1,NA
21/03/2019,34,35,8,NA,4,3,7,1,6
19/03/2019,38,34,8,1,4,5,7,1,2
17/03/2019,34,35,8,NA,3,3,6,1,7
15/03/2019,38,34,8,NA,3,5,8,1,NA
15/03/2019,35,39,10,NA,NA,3,5,0,NA
15/03/2019,35,31,12,4,4,NA,6,NA,NA
11/03/2019,41,31,8,NA,6,5,6,0,NA
08/03/2019,39,34,12,NA,4,3,5,1,NA
05/03/2019,36,34,8,NA,3,3,6,0,8
04/03/2019,40,31,11,3,4,NA,3,NA,NA
01/03/2019,40,34,9,NA,3,4,7,1,NA
23/02/2019,41,30,10,2,4,NA,5,NA,NA
22/02/2019,40,32,5,NA,4,4,7,1,6
19/02/2019,32,26,8,NA,4,4,8,1,10
19/02/2019,41,33,10,NA,4,NA,4,NA,NA
18/02/2019,40,36,10,NA,2,3,5,NA,NA
15/02/2019,37,37,8,NA,4,4,7,0,NA
11/02/2019,40,35,10,NA,4,4,3,1,NA
08/02/2019,38,35,13,NA,5,3,5,1,NA
05/02/2019,38,38,10,NA,3,4,4,1,NA
04/02/2019,41,34,10,NA,4,NA,4,NA,NA
01/02/2019,41,34,8,NA,4,4,7,1,NA
30/01/2019,38,39,9,NA,2,3,4,NA,NA
18/01/2019,39,40,9,NA,3,3,5,0,NA
18/01/2019,37,40,7,NA,4,5,7,1,NA
17/01/2019,38,37,10,NA,3,3,6,1,NA
15/01/2019,37,39,8,NA,3,3,7,0,NA
14/01/2019,39,34,11,NA,4,NA,6,NA,NA
14/01/2019,35,38,9,NA,4,4,6,1,NA
11/01/2019,38,41,10,NA,2,3,4,NA,NA
11/01/2019,36,36,12,NA,5,3,6,1,NA
07/01/2019,41,35,11,NA,3,NA,4,NA,NA
04/01/2019,40,34,10,NA,4,NA,4,NA,NA
