"","Data","Alior Bank SA","Banco Santander SA","Bank Handlowy SA","Bank Millennium SA","Bank Pekao SA","BNP Paribas Bank Polska SA","BOŚ SA","Getin Holding SA","Idea Bank SA","ING Bank SA","MBank SA","PKO BP SA","Santander Bank Polska SA","UniCredit SA","V16"
"1","20191106",30,16.2,49.55,6.15,106.4,62.2,7.1,1.46,2.78,196,392.4,39.15,319.2,52.5,80.068125
"2","20191105",29.34,16.2,49.85,6.39,108.55,63.6,7.1,1.48,2.78,196.2,399,39.87,317.4,52.5,80.64125
"3","20191104",28.1,16,51.6,6.17,109.2,62,7.18,1.41,2.62,198.4,394.4,39.45,321,52.5,80.626875
"4","20191031",26.96,15.69,51,6.14,107.8,60,6.98,1.37,2.58,194,381.8,38.12,313.2,48.5,78.38375
"5","20191030",29.26,17,52.2,6.24,110,59.8,6.94,1.36,2.52,196,378.8,38.82,313.4,50.5,78.9275
"6","20191029",29.56,17.38,51.8,6.2,111.9,59,6.94,1.39,2.5,197,370.2,39,316,50.5,78.710625
"7","20191028",30.48,16.4,52,6.04,111.6,58.8,6.9,1.38,2.66,197,378.4,38.57,316.2,50.5,79.183125
"8","20191025",30.84,16.5,52,5.83,111.7,57.4,7,1.33,2.63,195.2,367.6,38.16,307,50.5,77.730625
"9","20191024",36.28,17.48,52.2,6.26,113.25,58,7.2,1.34,2.73,197,376.8,39.07,315.8,50.5,79.619375
"10","20191023",38.2,17.48,52.2,6.22,109.25,58.6,6.96,1.35,2.75,197.6,380.2,38.53,320.2,50.5,80.0025
"11","20191022",38.24,17.38,52.1,6.24,108.6,58.8,7.02,1.38,2.8,199,380.4,38.6,319.2,50.5,80.01625
"12","20191021",38.1,16.6,50.7,6.2,107.8,58,7,1.21,2.53,197.6,375,38.09,305,50.5,78.395625
"13","20191018",38.04,17.4,50.1,6.14,106.5,57.6,6.94,1.24,2.56,196.8,378.2,37.64,299.6,49.5,78.01625
"14","20191017",38.1,17,52.1,6.36,107.6,59,6.9,1.26,2.62,196.6,385,37.86,299.8,49.9,78.75625
"15","20191016",37,16.54,52.2,6.1,106.8,59.8,6.96,1.34,2.76,194.8,386.8,37.11,294.6,49.9,78.294375
"16","20191015",36,16.51,52.2,6,105.5,57.2,6.96,1.31,2.7,196,376.8,36.68,296,47.4,77.32875
"17","20191014",36.42,16.2,51.9,5.74,103.5,59.8,6.96,1.34,2.72,198,364.2,36.7,300,47.4,76.93
"18","20191011",36.06,16.2,51.8,5.8,104.55,61,6.96,1.32,2.73,199.6,364,37.96,297,47.4,77.02375
"19","20191010",34.02,15.67,51.1,5.56,104,59.8,7.02,1.38,2.86,196,355.6,37.23,284.8,47.4,75.1525
"20","20191009",34.12,15.25,50.5,5.71,104.25,61,7.08,1.4,2.9,195,352,37.3,287.4,47.4,75.081875
"21","20191008",33.74,15.25,50.7,5.53,102.1,64.8,6.76,1.43,3,197,351.8,37.21,291.2,47.4,75.495
"22","20191007",34.42,15.65,50.7,5.38,101.55,65.6,6.9,1.29,2.65,194,344,37.61,287,46.5,74.578125
"23","20191004",35.8,15.65,50,5.47,101.5,65.4,6.72,1.31,2.64,194.8,346.8,37.74,286,46.5,74.770625
"24","20191003",35.84,15.5,49.4,5.3,100.25,63.6,6.82,1.28,2.61,195,348.6,37.16,283.2,46.5,74.44125
"25","20191002",36.42,16.65,49.6,5.75,99.38,67.6,6.66,1.06,2.16,196.8,341.6,37.39,297.4,46.5,75.310625
"26","20191001",38.02,16.65,50.3,5.65,101.6,68.6,6.46,1.11,2.25,198.2,345,38.85,312,47.8,77.030625
"27","20190930",38.82,16.65,51.5,5.71,102.4,68,6.82,1.09,2.21,199.4,347.6,39.32,313.6,47.8,77.5575
"28","20190927",40,16.1,51.5,5.95,103.6,68,7.1,1.17,2.33,200,363,40.04,316,47.5,78.893125
"29","20190926",39.42,16.1,51.3,5.96,103.55,68,7.06,1.26,2.52,196,340,39.43,311.8,47.5,76.86875
"30","20190925",39.76,16.6,51.5,5.95,103.95,69.8,7.08,1.2,2.46,194,340.4,39.45,305.6,47.5,76.578125
"31","20190924",40.68,16.1,51,6,102.8,70,7.02,1.35,2.69,193,343,39.72,310,47.5,76.92875
"32","20190923",39.34,16.2,51.8,5.87,102,70,7.1,1.41,2.98,192,328,38.7,309.2,47.5,75.75625
"33","20190920",39.84,16.66,52.8,5.89,104.1,72.2,7.3,1.43,3.29,193.2,316.8,39.84,305.4,47.5,75.390625
"34","20190919",41.1,16.66,53.1,6.28,105.6,68.8,7.34,1.33,3.2,195.8,319,40.84,312,47.5,76.159375
"35","20190918",41.6,16.2,53.2,6.29,105.9,67.6,7.42,1.44,3.27,195.4,321.4,41.27,320.2,46.46,76.728125
"36","20190917",42.22,16.46,53.1,6.57,104.9,68,7.34,1.18,2.71,195,327,41.1,318.8,50,77.14875
"37","20190916",43.34,16.5,53,6.58,107,68.6,7.4,0.98,2.24,194.8,329,41.75,318.4,50,77.474375
"38","20190913",41,16.58,51.7,6.46,107.35,68.6,7.44,0.95,2.13,193,327.6,41.2,318.2,50,77.013125
"39","20190912",40.58,16.2,51.4,6.4,107.4,68,7.34,0.94,2.11,190.8,330.8,40.94,315.8,47.8,76.656875
"40","20190911",41,16.7,52,6.49,107.35,68,7.38,0.93,2.06,188,321.2,41.18,305.6,47.8,75.355625
"41","20190910",41.3,15.2,51.5,6.58,107.1,67,7.2,0.97,2.15,187.8,324.6,41.4,298.6,48.05,74.965625
"42","20190909",40.46,15.2,51.1,6.59,105.55,67,7.4,1.07,2.28,187.2,326,41.17,305,46.1,75.1325
"43","20190906",40.1,15,50.7,6.51,101.3,67,7.32,0.89,1.89,187.4,310.6,39.58,299.8,46.1,73.386875
"44","20190905",40.08,15,51.4,6.53,99.92,70,7.36,0.88,1.9,188,318,39.01,295.8,46.1,73.74875
"45","20190904",40.22,15.15,50.8,6.64,98.74,68,7.26,0.92,1.94,187.4,315.8,38.58,296.2,45.09,73.29625
"46","20190902",40.54,16.08,51.1,6.65,99.44,67.6,7.5,0.92,1.93,189,325.2,39.28,302.2,44,74.465
"47","20190830",40.4,16.08,50.4,6.67,97.34,70,7.46,0.93,1.9,188,322.6,39.15,305,44.5,74.401875
"48","20190829",38.86,16.08,49.2,6.4,93.62,67,7.5,0.93,1.91,189.6,318.2,37.5,290.6,44.5,72.61875
"49","20190828",39.18,16.08,49.8,6.38,95.5,66,7.72,0.91,1.92,191.4,311,36.95,282,42.6,71.715
"50","20190827",39.98,16.14,49.8,7.36,96.1,67,8,0.94,2,194,329.4,39.17,303,42.6,74.718125
"51","20190826",41.18,15.42,50.2,7.33,96.46,67,7.9,0.96,1.98,192,328.2,39.25,309.2,42.6,74.98
"52","20190823",41.68,15.4,50,7.24,97.52,66.2,8.02,0.95,2.01,190,325.6,39.54,306.8,42.6,74.5975
"53","20190822",42.16,15.6,51.6,7.15,97.54,66.4,7.88,0.97,2.04,190,330,40.1,307.4,42.7,75.09625
"54","20190821",42.14,15.35,51.7,7.06,98.16,66.4,7.98,0.97,2.06,190.2,325.4,39.9,300.6,42.34,74.39125
"55","20190820",42.12,15.38,50.6,7,98.04,66.4,8,0.93,1.97,191.6,329.2,39.7,298.2,42.34,74.4675
"56","20190819",42.34,15.41,50.6,6.92,98.3,66.2,8.16,0.96,1.96,191.8,317,39.44,296.8,39.8,73.480625
"57","20190816",41.18,15.39,50.6,6.83,98,66.6,8,1,2.06,189.2,303.2,38.91,294,39.8,72.173125
"58","20190814",42.14,15.33,50.6,6.99,97,69.4,8.18,1.07,2.16,189.6,310,38.24,297.6,39.8,73.006875
"59","20190813",43.32,15.3,52.9,7.29,98.5,69.4,8.22,1.07,2.15,191.8,323,39.42,310.4,40.15,75.1825
"60","20190812",42.5,15.6,51,7.28,97.2,69,7.74,1.06,2.1,190,312,38.9,305,40.84,73.76375
"61","20190809",43.22,15.65,51.1,7.27,97.26,69,7.6,1.05,2.08,192.4,318.8,38.87,307,40.7,74.5
"62","20190808",44.2,16,51.6,7.53,98.46,69.2,7.38,1.05,2.1,192.8,324.6,39.42,313.2,41.97,75.594375
"63","20190807",45.12,15.62,51.6,7.46,97.08,69,7.44,1.04,2.1,192,330,38.47,311,41.97,75.61875
"64","20190806",46.96,16.01,52.5,7.39,97.6,69.2,7.34,1.06,2.06,191.8,324.6,38.38,312,49.5,76.025
"65","20190805",43.02,16.15,50.4,7.33,97,67.6,7.54,1.07,2.08,191,323.4,38.7,314,49.5,75.549375
"66","20190802",44.66,16.42,51.1,7.47,100.35,67.4,7.5,1.11,2.21,192,338.6,39.2,318,45.8,76.98875
