"id","vote_mean","budget_mean","revenue_mean","popularity_mean","popularity_sum","vote_sum","name"
2,8.06666666666667,20450000,628832669,83.8068653333333,251.420596,24.2,"Mark Hamill"
3,6.61111111111111,55605555.5555556,234354988.555556,42.2015066296296,1139.440679,178.5,"Harrison Ford"
4,6.81666666666667,17725000,330444202,45.339096,272.034576,40.9,"Carrie Fisher"
12,7.6,9.4e+07,940335536,85.688789,85.688789,7.6,"Alexander Gould"
13,6.52,31800000,206431463,34.839949,174.199745,32.6,"Albert Brooks"
14,7.6,9.4e+07,940335536,85.688789,85.688789,7.6,"Ellen DeGeneres"
19,5.85,2e+07,11022138.5,8.1594585,16.318917,11.7,"Allison Janney"
20,5.62,40800000,161306396.8,22.3538178,111.769089,28.1,"Elizabeth Perkins"
31,7.05172413793103,62551724.137931,271952318.655172,49.9944640344828,1449.839457,204.5,"Tom Hanks"
32,6.725,32937500,138653017.75,36.600273375,292.802187,53.8,"Robin Wright"
33,6.03333333333333,57888888.8888889,154276739,27.5388171111111,247.849354,54.3,"Gary Sinise"
35,6.15,38750000,210373621.75,18.88220975,75.528839,24.6,"Sally Field"
40,6.4,9100000,1017333.33333333,3.67114933333333,11.013448,19.2,"Orson Welles"
47,7.6,12800000,40031879,22.022228,22.022228,7.6,"Björk"
48,5.8125,52437500.375,126193235.625,32.05344225,256.427538,46.5,"Sean Bean"
49,6.19090909090909,24672727.2727273,53520131.9090909,20.0121740909091,220.133915,68.1,"Maria Bello"
50,6.55714285714286,9728571.42857143,9583670.57142857,9.663086,67.641602,45.9,"Catherine Deneuve"
52,6.675,31350000,54462144.125,27.027215125,216.217721,53.4,"David Morse"
53,5.575,51500000,37059905.5,11.097762,44.391048,22.3,"Peter Stormare"
62,6.25142857142857,58151428.5714286,149835080.314286,34.7641657428571,1216.745801,218.8,"Bruce Willis"
63,5.81428571428571,35214285.7142857,88647268.0714286,18.9184583571429,264.858417,81.4,"Milla Jovovich"
64,6.34210526315789,75526315.7894737,204876746.315789,48.864164,928.419116,120.5,"Gary Oldman"
65,7,49583333.3333333,165850522.166667,43.5876261666667,261.525757,42,"Ian Holm"
66,6.35,58375000,158390988.25,22.8942495,91.576998,25.4,"Chris Tucker"
73,8,92620000,650422,32.351527,32.351527,8,"Alfred Abel"
74,8,92620000,650422,32.351527,32.351527,8,"Gustav Fröhlich"
75,8,92620000,650422,32.351527,32.351527,8,"Brigitte Helm"
85,6.578125,93453125,246073908.8125,54.97495709375,1759.198627,210.5,"Johnny Depp"
98,6.53333333333333,12383333.3333333,23966423.6666667,16.3868558333333,98.321135,39.2,"Sarah Polley"
99,7.2,0,9726954,7.958831,7.958831,7.2,"Amanda Plummer"
100,6.13333333333333,14500000,37668947,25.1085706666667,150.651424,36.8,"Scott Speedman"
101,5.7,14100000,0,9.318033,9.318033,5.7,"Leonor Watling"
102,7.1,5952000,2120439,18.119265,18.119265,7.1,"Deborah Harry"
103,6.77222222222222,59972222.2222222,233113568,41.6315234444444,749.367422,121.9,"Mark Ruffalo"
109,6.41428571428571,54509285.7142857,271916400.214286,41.4347441428571,580.086418,89.8,"Elijah Wood"
110,6.575,40218750,160968752.1875,29.311230875,468.979694,105.2,"Viggo Mortensen"
112,6.59047619047619,61571428.5714286,175045731.333333,33.6791795238095,707.26277,138.4,"Cate Blanchett"
113,6.3,3500000,48786000,15.75575,31.5115,12.6,"Christopher Lee"
114,6.6625,136625000,446879177.375,92.778265625,742.226125,53.3,"Orlando Bloom"
116,6.79375,50156259.9375,194106708.875,50.8901703125,814.242725,108.7,"Keira Knightley"
118,6.61333333333333,30133333.8,115169064.533333,35.9937967333333,539.906951,99.2,"Geoffrey Rush"
131,6.605,38150000,104479591.85,39.902262,798.04524,132.1,"Jake Gyllenhaal"
132,6.6,7.2e+07,96889998,32.227223,32.227223,6.6,"Scott MacDonald"
