"budget","revenue","movie_id","title","popularity","status","release_date","runtime","vote_average","vote_count"
237000000,2787965087,19995,"Avatar",150.437577,"Released","2009-12-10",162,7.2,11800
300000000,9.61e+08,285,"Pirates of the Caribbean: At World's End",139.082615,"Released","2007-05-19",169,6.9,4500
245000000,880674609,206647,"Spectre",107.376788,"Released","2015-10-26",148,6.3,4466
250000000,1084939099,49026,"The Dark Knight Rises",112.31295,"Released","2012-07-16",165,7.6,9106
260000000,284139100,49529,"John Carter",43.926995,"Released","2012-03-07",132,6.1,2124
258000000,890871626,559,"Spider-Man 3",115.699814,"Released","2007-05-01",139,5.9,3576
260000000,591794936,38757,"Tangled",48.681969,"Released","2010-11-24",100,7.4,3330
280000000,1405403694,99861,"Avengers: Age of Ultron",134.279229,"Released","2015-04-22",141,7.3,6767
250000000,933959197,767,"Harry Potter and the Half-Blood Prince",98.885637,"Released","2009-07-07",153,7.4,5293
250000000,873260194,209112,"Batman v Superman: Dawn of Justice",155.790452,"Released","2016-03-23",151,5.7,7004
270000000,391081192,1452,"Superman Returns",57.925623,"Released","2006-06-28",154,5.4,1400
200000000,586090727,10764,"Quantum of Solace",107.928811,"Released","2008-10-30",106,6.1,2965
200000000,1065659812,58,"Pirates of the Caribbean: Dead Man's Chest",145.847379,"Released","2006-06-20",151,7,5246
255000000,89289910,57201,"The Lone Ranger",49.046956,"Released","2013-07-03",149,5.9,2311
225000000,662845518,49521,"Man of Steel",99.398009,"Released","2013-06-12",143,6.5,6359
225000000,419651413,2454,"The Chronicles of Narnia: Prince Caspian",53.978602,"Released","2008-05-15",150,6.3,1630
220000000,1519557910,24428,"The Avengers",144.448633,"Released","2012-04-25",143,7.4,11776
380000000,1045713802,1865,"Pirates of the Caribbean: On Stranger Tides",135.413856,"Released","2011-05-14",136,6.4,4948
225000000,624026776,41154,"Men in Black 3",52.035179,"Released","2012-05-23",106,6.2,4160
250000000,956019788,122917,"The Hobbit: The Battle of the Five Armies",120.965743,"Released","2014-12-10",144,7.1,4760
215000000,752215857,1930,"The Amazing Spider-Man",89.866276,"Released","2012-06-27",136,6.5,6586
